[2023-11-21 14:11:15] [info]  [10808] Apache Commons Daemon procrun (1.3.4.0 64-bit) started.
[2023-11-21 14:11:16] [info]  [10808] Running Service 'Tomcat10'...
[2023-11-21 14:11:16] [info]  [13304] Starting service...
[2023-11-21 14:11:17] [info]  [13304] Service started in 1562 milliseconds.
[2023-11-21 14:11:20] [info]  [10808] Service SERVICE_CONTROL_STOP signalled.
[2023-11-21 14:11:20] [info]  [ 6320] Stopping service...
[2023-11-21 14:11:23] [info]  [ 6320] Service stop thread completed.
[2023-11-21 14:11:24] [info]  [10808] Run service finished.
[2023-11-21 14:11:24] [info]  [10808] Apache Commons Daemon procrun finished.
[2023-11-21 14:16:13] [info]  [ 7832] Apache Commons Daemon procrun (1.3.4.0 64-bit) started.
[2023-11-21 14:16:13] [info]  [ 7832] Running Service 'Tomcat10'...
[2023-11-21 14:16:13] [info]  [ 6428] Starting service...
[2023-11-21 14:16:14] [info]  [ 6428] Service started in 1232 milliseconds.
[2023-11-21 14:23:27] [info]  [ 7832] Service SERVICE_CONTROL_STOP signalled.
[2023-11-21 14:23:27] [info]  [ 9748] Stopping service...
[2023-11-21 14:23:28] [info]  [ 9748] Service stop thread completed.
[2023-11-21 14:23:28] [info]  [ 7832] Run service finished.
[2023-11-21 14:23:28] [info]  [ 7832] Apache Commons Daemon procrun finished.
[2023-11-21 14:46:59] [info]  [ 5228] Apache Commons Daemon procrun (1.3.4.0 64-bit) started.
[2023-11-21 14:47:00] [info]  [ 5228] Running Service 'Tomcat10'...
[2023-11-21 14:47:00] [info]  [  224] Starting service...
[2023-11-21 14:47:01] [info]  [  224] Service started in 1236 milliseconds.
[2023-11-21 14:48:32] [info]  [ 5228] Service SERVICE_CONTROL_STOP signalled.
[2023-11-21 14:48:32] [info]  [ 5148] Stopping service...
[2023-11-21 14:48:33] [info]  [ 5148] Service stop thread completed.
[2023-11-21 14:48:33] [info]  [ 5228] Run service finished.
[2023-11-21 14:48:33] [info]  [ 5228] Apache Commons Daemon procrun finished.
[2023-11-21 14:48:41] [info]  [ 8564] Apache Commons Daemon procrun (1.3.4.0 64-bit) started.
[2023-11-21 14:48:41] [info]  [ 8564] Running Service 'Tomcat10'...
[2023-11-21 14:48:41] [info]  [11372] Starting service...
[2023-11-21 14:48:42] [info]  [11372] Service started in 1219 milliseconds.
[2023-11-21 14:50:01] [info]  [ 8564] Service SERVICE_CONTROL_STOP signalled.
[2023-11-21 14:50:01] [info]  [ 7496] Stopping service...
[2023-11-21 14:50:02] [info]  [ 7496] Service stop thread completed.
[2023-11-21 14:50:02] [info]  [ 8564] Run service finished.
[2023-11-21 14:50:02] [info]  [ 8564] Apache Commons Daemon procrun finished.
[2023-11-21 16:03:20] [info]  [10248] Apache Commons Daemon procrun (1.3.4.0 64-bit) started.
[2023-11-21 16:03:20] [info]  [10248] Running Service 'Tomcat10'...
[2023-11-21 16:03:20] [info]  [10992] Starting service...
[2023-11-21 16:03:22] [info]  [10992] Service started in 1246 milliseconds.
[2023-11-21 16:04:44] [info]  [10248] Service SERVICE_CONTROL_STOP signalled.
[2023-11-21 16:04:44] [info]  [ 7528] Stopping service...
[2023-11-21 16:04:45] [info]  [ 7528] Service stop thread completed.
[2023-11-21 16:04:45] [info]  [10248] Run service finished.
[2023-11-21 16:04:45] [info]  [10248] Apache Commons Daemon procrun finished.
[2023-11-21 16:06:34] [info]  [ 6868] Apache Commons Daemon procrun (1.3.4.0 64-bit) started.
[2023-11-21 16:06:34] [info]  [ 6868] Running Service 'Tomcat10'...
[2023-11-21 16:06:34] [info]  [ 1736] Starting service...
[2023-11-21 16:06:35] [info]  [ 1736] Service started in 1222 milliseconds.
[2023-11-21 16:07:47] [info]  [ 6868] Service SERVICE_CONTROL_STOP signalled.
[2023-11-21 16:07:47] [info]  [ 8396] Stopping service...
[2023-11-21 16:07:48] [info]  [ 8396] Service stop thread completed.
[2023-11-21 16:07:48] [info]  [ 6868] Run service finished.
[2023-11-21 16:07:48] [info]  [ 6868] Apache Commons Daemon procrun finished.
[2023-11-21 16:50:14] [info]  [ 3520] Apache Commons Daemon procrun (1.3.4.0 64-bit) started.
[2023-11-21 16:50:14] [info]  [ 3520] Running Service 'Tomcat10'...
[2023-11-21 16:50:14] [info]  [ 6200] Starting service...
[2023-11-21 16:50:15] [info]  [ 6200] Service started in 1227 milliseconds.
[2023-11-21 16:57:22] [info]  [ 3520] Service SERVICE_CONTROL_STOP signalled.
[2023-11-21 16:57:22] [info]  [ 2200] Stopping service...
[2023-11-21 16:57:23] [info]  [ 2200] Service stop thread completed.
[2023-11-21 16:57:23] [info]  [ 3520] Run service finished.
[2023-11-21 16:57:23] [info]  [ 3520] Apache Commons Daemon procrun finished.
[2023-11-21 17:02:06] [info]  [ 5768] Apache Commons Daemon procrun (1.3.4.0 64-bit) started.
[2023-11-21 17:02:06] [info]  [ 5768] Running Service 'Tomcat10'...
[2023-11-21 17:02:06] [info]  [12924] Starting service...
[2023-11-21 17:02:07] [info]  [12924] Service started in 1208 milliseconds.
[2023-11-21 17:26:30] [info]  [ 5768] Service SERVICE_CONTROL_STOP signalled.
[2023-11-21 17:26:30] [info]  [11256] Stopping service...
[2023-11-21 17:26:31] [info]  [11256] Service stop thread completed.
[2023-11-21 17:26:31] [info]  [ 5768] Run service finished.
[2023-11-21 17:26:31] [info]  [ 5768] Apache Commons Daemon procrun finished.
